#,Business Name,Type,Score,Phone,Email,Website,Address,Reviews,Rating,Priority Reason
15,Windhoek,Auto repair shop,HOT Hot,N/A,,None,"C4JC+4W, Windhoek, Namibia",0,N/A,"High priority — few reviews, needs marketing help"
16,Olympia Auto Repairs,Mechanic,HOT Hot,+264 61 256 148,,None,"1 Diehl Street, Windhoek, Namibia",5,3.8,"High priority — few reviews, needs marketing help"
17,Crown Auto House,Car repair and maintenance service,HOT Hot,+264 61 271 332,,None,"C3QM+45W, John Meinert Street, Windhoek, Namibia",28,4.8,"High priority — few reviews, needs marketing help"
18,BMS Global,Accountant,HOT Hot,+264 81 339 1184,,None,"Bohemian Building, Unit 8, Friedrich Giese Street, Windhoek, Namibia",2,5,"High priority — few reviews, needs marketing help"
19,Namib Accountants,Accounting firm,HOT Hot,+264 81 210 3362,,None,"16 Joseph Wood Street, Windhoek, Namibia",0,N/A,"High priority — few reviews, needs marketing help"
20,Amalgamated Plumbing - Central,Plumber,WARM Warm,+264 83 301 7700,maintenance@apr.com.na,https://apr.com.na/,"10000, Erf 6118 Joule Street, Windhoek, Namibia",82,4.2,"Decent prospect — moderate presence, room to improve"
21,Just Cooling,Auto repair shop,WARM Warm,+264 61 251 620,,None,"59 Andimba Toivo-ya-Toivo Street, Windhoek, Namibia",98,4.4,"Decent prospect — moderate presence, room to improve"
22,Sundowner Bar and Terrace,Restaurant,LOW Low,+264 83 372 0600,reception@hotelthule.com,https://hotelthule.com/#Food,"Windhoek, Namibia",42,4.7,"Low priority — well-established, strong presence"
23,UrbanFood I Resturante,Beer garden,LOW Low,+264 81 287 8044,booking@urbancamp.net,http://www.urbancamp.net/,"at UrbanCamp, 2 Schanzen Street, Windhoek, Namibia",10,4.8,"Low priority — well-established, strong presence"
24,The Stellenbosch Wine Bar and Bistro,Restaurant,LOW Low,+264 61 309 141,tobias@thestellenboschwinebar.com,https://www.thestellenboschwinebar.com/,"Shop 25, Bougain Villas, 320 Sam Nujoma Dr, Windhoek, Namibia",2162,4.4,"Low priority — well-established, strong presence"
25,Joe's Beerhouse,Brewpub,LOW Low,+264 81 123 2457,info@joesbeerhouse.com,http://www.joesbeerhouse.com/,"160 Nelson Mandela Ave, Windhoek, Namibia",6677,4.4,"Low priority — well-established, strong presence"
26,Cassia Thai Restaurant,Restaurant,LOW Low,+264 81 703 2730,,https://www.facebook.com/cassiathaifood/,"next to the Gun Shop, Hidas Centre, Sam Nujoma Drive, Windhoek, Khomas Region, Central Namibia, Namibia, Windhoek, Namibia",248,4.6,"Low priority — well-established, strong presence"
27,The Cork & Fork Restaurant,Restaurant,LOW Low,+264 81 282 7370,,https://www.facebook.com/thecorkandforkrestaurant,"Centaurus Street, Windhoek, Namibia",254,4.3,"Low priority — well-established, strong presence"
28,Olivia's Kitchen,Restaurant,LOW Low,+264 81 125 6191,,None,"13 Jan Jonker, Windhoek, Namibia",736,4.2,"Low priority — well-established, strong presence"
29,Wilde Eend Bistro,Restaurant,LOW Low,+264 61 272 632,,https://www.facebook.com/Wildeeendbistro/,"10 Dr. Kenneth David Kaunda St, Windhoek, Namibia",651,4.3,"Low priority — well-established, strong presence"
30,Cape Town Fish Market Windhoek,Seafood restaurant,LOW Low,+264 83 331 8101,,http://www.ctfm.com.na/,"Am Weinberg Estate, 13 Jan Jonker, Windhoek, Namibia",1619,4.3,"Low priority — well-established, strong presence"
31,Sharky's Maintenance,Plumber,LOW Low,+264 81 129 1982,,https://www.facebook.com/SharkysMaintenance,"90001 Rietbok Street, Windhoek, Namibia",1,5,"Low priority — well-established, strong presence"
32,Polka Plumbing,Plumber,LOW Low,+264 81 262 4341,,http://polkaplumbing.com/,"148 Jan Jonker St, Windhoek, Namibia",16,4,"Low priority — well-established, strong presence"
33,otto's electrical services cc,Electrician,LOW Low,+264 81 613 5996,,None,N/A,77,4.6,"Low priority — well-established, strong presence"
34,Generic Electronic Solutions,Electronics store,LOW Low,+264 61 244 659,jacques@genericnam.com,http://www.genericnam.com/,"12 Outeniqua Street, Windhoek, Namibia",3,5,"Low priority — well-established, strong presence"
35,iSmile Dental Practice,Dentist,LOW Low,+264 81 834 2055,info@ismilenamibia.com.na,https://www.ismilenamibia.com.na/,"Kanuma Holistic Wellness, Unit 21, 1st Floor, 10017, Ombika Street, Windhoek, Namibia",10,4.6,"Low priority — well-established, strong presence"
36,Dr Sonja Obholzer Dentist,Dentist,LOW Low,+264 81 332 7670,,http://www.sonjaobholzerdentist.com/,"Unit 23, Lady Pohamba West Suites, Ombika Street, Windhoek, Namibia",2,5,"Low priority — well-established, strong presence"
37,Olympia Dental Practice,Dental clinic,LOW Low,+264 61 303 945,,http://www.drcoeniedevilliers.com/,"Hamutenya Wanahepo Ndadi St, Windhoek, Namibia",21,4.5,"Low priority — well-established, strong presence"
38,Windhoek Country Club Resort,Hotel,LOW Low,+264 61 205 5911,lmartineau@legacyhotels.co.za,https://www.legacyhotels.co.za/windhoek-country-club-resort,"B1 Western Byp, Windhoek, Namibia",2576,4.3,"Low priority — well-established, strong presence"
39,Mövenpick Hotel Windhoek,Hotel,LOW Low,+264 61 296 8000,,https://all.accor.com/hotel/B960/index.en.shtml,"Corner of Auas, 10005, and Aviation Road, Windhoek, Namibia",2738,4.1,"Low priority — well-established, strong presence"
40,Arebbusch Travel Lodge,Hotel,LOW Low,+264 61 252 255,robert@arebbusch.com,http://www.arebbusch.com/,"Cnr of Golf & Auas Rd, Olympia, Windhoek, Namibia",3229,4.3,"Low priority — well-established, strong presence"
41,Hilton Windhoek,Hotel,LOW Low,+264 61 296 2929,pandey.sarvesh@hilton.com,https://www.hilton.com/en/hotels/wdhhihi-hilton-windhoek/?SEO_id=GMB-EMEA-HI-WDHHIHI,"Rev Michael Scott St, Windhoek, Namibia",3310,4.2,"Low priority — well-established, strong presence"
42,Town Lodge Windhoek,Hotel,LOW Low,+264 83 356 3431,dschaefers@citylodgehotels.com,https://citylodgehotels.com/our-hotels/Town%20Lodge/98,"Chasie Street, Windhoek, Namibia",741,4.2,"Low priority — well-established, strong presence"
43,Heinitzburg,Hotel,LOW Low,+264 61 249 597,heinitzburg@heinitzburg.com,http://www.heinitzburg.com/,"22 Heinitzburg Street, Windhoek, Namibia",424,4.4,"Low priority — well-established, strong presence"
44,Casa Blanca Boutique Hotel,Hotel,LOW Low,+264 61 249 623,info@casablancahotel.com.na,https://www.casablancahotel.com.na/,"c/o Gous, & Fritsche Street, Windhoek, Namibia",167,4.1,"Low priority — well-established, strong presence"
45,Auto Doctors,Auto repair shop,LOW Low,+264 61 400 362,,None,"1 Diehl Street, Windhoek, Namibia",236,5,"Low priority — well-established, strong presence"
46,EMG Auto Repairs,Mechanical engineer,LOW Low,+264 83 330 4716,info@emgautorepair.com,https://emgautorepair.com/,"C36M+XX2, Bam Street, Windhoek, Namibia",10,5,"Low priority — well-established, strong presence"
47,Windhoek Accounting and Taxation,Certified public accountant,LOW Low,+264 61 402 520,bernadedt@windhoekaccounting.com,http://www.windhoekaccounting.com/,"2nd Floor, C4H4+24V Hidas Centre, Office No. 310, 10005 Nelson Mandela Ave, Windhoek, Namibia",38,4.3,"Low priority — well-established, strong presence"
48,Hamilton Chartered Accountants,Accountant,LOW Low,+264 61 224 893,info@hamilton.com.na,http://www.hamilton.com.na/,"136 Jan Jonker St, Windhoek, Namibia",41,4.4,"Low priority — well-established, strong presence"
49,SGA Chartered Accountants and Auditors,Auditor,LOW Low,+264 61 276 000,,https://www.sga.com.na/,"C3JW+P6J, Orban Street, Windhoek, Namibia",4,4.8,"Low priority — well-established, strong presence"
50,Bakertilly Namibia,Accounting firm,LOW Low,+264 61 415 254,,https://www.bakertillycentralafrica.com/locations/namibia,"6 Winterberg Street, Windhoek, Namibia",3,5,"Low priority — well-established, strong presence"
